id,author,geometry,pressure [MPa],mass_flux [kg/m2-s],x_e_out [-],D_e [mm],D_h [mm],length [mm],chf_exp [MW/m2]
40,Inasaka,tube,12.07,6200.0,-0.0692,3.0,,100.0,8.0
41,,tube,,1356.0,0.1275,7.7,7.7,457.0,1.4
42,Thompson,tube,11.03,4069.0,-0.0263,9.3,9.3,762.0,5.0
43,Thompson,tube,18.96,2699.0,,1.9,1.9,696.0,2.2
44,Thompson,tube,15.51,2197.0,,1.9,,696.0,2.5
45,Thompson,tube,10.34,6049.0,,10.3,10.3,762.0,10.8
46,Thompson,tube,6.89,3987.0,-0.0601,10.3,10.3,,3.9
47,Thompson,tube,11.03,3391.0,0.0406,11.5,11.5,914.0,1.6
48,Thompson,tube,13.79,1021.0,0.0145,7.7,,457.0,2.4
49,,annulus,,3677.0,0.0409,,15.2,2134.0,1.3
50,Thompson,tube,,1356.0,,7.7,,,2.6
51,Thompson,,17.24,3065.0,-0.1334,1.9,1.9,,3.5
52,Thompson,tube,6.89,5778.0,-0.0251,10.3,10.3,762.0,5.9
53,Beus,annulus,11.03,,0.1716,5.6,15.2,2134.0,1.2
54,Thompson,,6.89,,0.0633,10.8,10.8,864.0,2.2
55,Thompson,tube,6.86,4069.0,0.0763,10.8,10.8,864.0,3.5
56,Thompson,tube,18.27,833.0,,3.0,3.0,150.0,7.1
57,Williams,tube,15.17,1335.0,,9.5,9.5,1836.0,2.9
58,,tube,13.79,4123.0,-0.1044,4.7,4.7,318.0,6.8
59,Thompson,tube,3.45,5479.0,0.0883,,,,7.9
60,Thompson,tube,,6022.0,,,4.7,318.0,2.5
61,Thompson,tube,6.89,7785.0,-0.0008,,10.3,,4.7
62,Thompson,tube,13.79,1736.0,,,7.8,591.0,2.0
63,Janssen,,6.89,5533.0,0.0063,12.7,38.1,737.0,3.5
64,Thompson,tube,6.89,5533.0,-0.0251,,,762.0,7.5
65,Thompson,tube,13.79,6388.0,-0.112,,4.7,318.0,5.1
66,Thompson,tube,,2034.0,-0.0263,,9.3,762.0,5.0
67,Janssen,annulus,6.89,5588.0,-0.0157,6.4,15.9,914.0,5.8
68,Thompson,tube,13.79,1356.0,,3.0,3.0,150.0,1.8
69,Thompson,tube,,6212.0,-0.1392,4.7,4.7,318.0,3.5
70,,annulus,11.03,679.0,,5.0,13.3,,1.1
71,Thompson,tube,12.07,2577.0,-0.0458,,1.9,696.0,2.9
72,,,13.79,,0.0656,4.7,,318.0,1.9
73,,,,3608.0,0.1261,4.7,4.7,318.0,2.7
74,Thompson,tube,6.89,1912.0,,12.8,12.8,1930.0,3.2
75,Thompson,tube,6.93,3838.0,,10.8,10.8,864.0,6.6
76,Thompson,tube,6.89,6618.0,,10.3,10.3,794.0,6.7
77,Mortimore,annulus,13.79,679.0,0.1601,5.0,,2134.0,1.6
78,Thompson,tube,13.79,2712.0,,7.7,7.7,457.0,3.9
79,Thompson,tube,6.86,4096.0,-0.0412,10.8,10.8,432.0,6.5
80,,,6.89,2278.0,0.1946,8.5,22.3,2743.0,2.0
81,Thompson,,9.0,4069.0,,11.5,11.5,864.0,2.8
82,Thompson,tube,10.34,4842.0,-0.1205,10.3,10.3,762.0,4.7
83,Thompson,tube,13.79,4367.0,-0.0358,4.7,4.7,305.0,4.5
84,,tube,13.79,1349.0,0.0455,11.1,11.1,457.0,2.9
85,Beus,annulus,11.03,2729.0,,5.6,,2134.0,1.6
86,Peskov,tube,,4055.0,-0.0028,10.0,10.0,660.0,5.6
87,,tube,6.89,,-0.1342,37.5,37.5,1953.0,3.8
88,Thompson,tube,10.34,,-0.0497,10.3,10.3,762.0,5.9
89,Thompson,tube,,5642.0,-0.363,3.6,3.6,76.0,4.8
90,Peskov,tube,18.0,5361.0,-0.068,10.0,10.0,660.0,2.8
91,Williams,tube,,4062.0,0.1536,9.5,9.5,1836.0,1.8
92,,tube,13.79,1298.0,0.0845,7.8,7.8,591.0,1.5
93,Thompson,tube,6.89,5479.0,,23.6,,1972.0,3.9
94,,tube,13.79,2116.0,0.0305,7.8,7.8,591.0,3.9
95,Thompson,tube,6.89,4069.0,,10.8,10.8,432.0,2.3
96,,tube,6.79,1763.0,0.033,10.8,10.8,432.0,4.4
97,Janssen,annulus,6.89,3052.0,,22.2,96.3,,2.3
98,Thompson,tube,7.0,3770.0,0.0197,10.8,,864.0,5.7
99,,tube,6.89,1356.0,,23.6,23.6,1972.0,2.5
100,Thompson,,,1492.0,-0.1208,,,35.0,2.9
101,Janssen,annulus,9.68,5615.0,0.0477,6.4,15.9,,1.7
102,Beus,annulus,,3678.0,0.0238,5.6,,2134.0,1.6
103,Thompson,tube,,7025.0,-0.0373,4.7,4.7,318.0,3.4
104,Thompson,tube,18.27,815.0,-0.1258,,3.0,150.0,1.3
105,Thompson,tube,15.51,3743.0,0.001,1.9,1.9,152.0,1.9
106,Thompson,,13.79,671.0,0.1476,7.7,7.7,457.0,1.6
107,,tube,0.31,3513.0,-0.0668,5.6,5.6,216.0,5.6
108,Richenderfer,plate,0.1,2000.0,-0.0093,15.0,120.0,10.0,7.0
109,,tube,11.0,4056.0,0.0436,9.3,9.3,1727.0,3.5
110,Thompson,tube,4.13,,0.0823,,10.8,864.0,4.6
111,Thompson,tube,13.79,2997.0,-0.0298,7.8,7.8,591.0,4.9
112,Thompson,tube,12.07,2102.0,,,1.9,696.0,2.2
113,Thompson,tube,8.96,2034.0,0.0656,11.5,11.5,1524.0,4.4
114,Thompson,tube,3.45,6049.0,0.0874,10.3,10.3,762.0,6.6
115,Thompson,tube,13.79,1682.0,0.0145,7.7,7.7,457.0,2.0
116,Thompson,tube,10.34,5506.0,,10.8,10.8,762.0,5.5
117,Thompson,tube,13.79,,-0.0438,4.7,,318.0,4.5
118,Peskov,tube,,2217.0,-0.03,10.0,10.0,1650.0,5.0
119,Weatherhead,tube,13.79,1980.0,,7.7,7.7,457.0,1.8
120,Janssen,annulus,,2767.0,,12.7,,737.0,3.1
121,,,,4986.0,-0.0297,3.0,,400.0,5.5
122,Thompson,tube,6.86,,,10.8,10.8,,6.5
123,,,3.45,3770.0,0.0063,10.3,10.3,762.0,2.0
124,Thompson,tube,13.79,3608.0,-0.0424,4.7,4.7,318.0,3.2
125,Janssen,annulus,6.92,555.0,0.1234,12.7,38.1,737.0,2.1
126,Beus,annulus,13.79,2719.0,0.1351,5.6,,2134.0,1.1
127,Thompson,tube,18.96,,,1.9,,152.0,3.9
128,Thompson,tube,13.79,1356.0,0.1131,4.7,4.7,,1.8
129,Janssen,annulus,5.51,1478.0,0.0235,,42.3,1778.0,3.7
130,Thompson,tube,13.79,1356.0,0.0685,7.8,7.8,591.0,2.7
131,Thompson,,3.45,3838.0,0.0051,10.3,10.3,762.0,4.3
132,,tube,18.27,2197.0,-0.1258,3.0,3.0,150.0,3.2
133,Richenderfer,plate,0.2,5600.0,-0.0373,,120.0,10.0,5.2
134,Thompson,tube,18.96,3458.0,-0.1209,1.9,1.9,152.0,6.6
135,Weatherhead,,13.79,1354.0,0.0886,,,457.0,1.5
136,Thompson,tube,13.79,2333.0,0.0335,7.8,7.8,591.0,2.8
137,Thompson,tube,13.79,888.0,,7.8,7.8,591.0,2.3
138,Thompson,tube,11.03,2672.0,0.0854,11.5,,1524.0,4.4
139,,tube,13.79,2007.0,0.0297,7.7,7.7,457.0,2.8
140,Thompson,tube,7.03,4055.0,0.1113,10.8,10.8,864.0,1.4
141,Janssen,annulus,6.89,549.0,0.0497,12.7,38.1,737.0,2.5
142,,tube,15.17,2685.0,0.0334,9.5,9.5,1836.0,2.5
143,Thompson,tube,,3933.0,,10.3,10.3,762.0,4.8
144,Thompson,tube,,4062.0,0.0487,10.8,10.8,,3.8
145,Weatherhead,tube,13.79,1356.0,-0.2253,7.7,7.7,457.0,3.5
146,Thompson,,12.07,4028.0,,1.9,1.9,152.0,3.9
147,Weatherhead,tube,,346.0,0.0404,11.1,11.1,457.0,2.9
148,Thompson,tube,13.79,2116.0,,,7.8,591.0,2.1
149,Thompson,tube,13.79,5588.0,,,4.7,318.0,4.6
150,,,10.34,7378.0,,10.3,10.3,762.0,9.0
151,Thompson,tube,6.89,7432.0,-0.0416,,10.3,794.0,5.7
152,Thompson,tube,6.79,4096.0,-0.0188,10.8,10.8,432.0,5.5
153,Thompson,tube,13.79,1736.0,0.0622,7.8,7.8,,3.5
154,Thompson,tube,12.07,2075.0,-0.074,1.9,1.9,152.0,4.0
155,Beus,annulus,8.27,2712.0,,5.6,15.2,2134.0,2.3
156,,plate,0.51,5600.0,-0.0204,15.0,,10.0,7.5
157,Thompson,tube,6.89,4503.0,-0.0413,10.3,10.3,794.0,7.7
158,Thompson,tube,10.34,4896.0,-0.0663,10.3,10.3,762.0,4.6
159,Thompson,,17.24,1939.0,0.0406,1.9,1.9,152.0,2.1
160,,tube,18.27,1356.0,-0.1258,3.0,3.0,150.0,1.4
161,Thompson,tube,6.89,6144.0,,10.3,,794.0,6.9
162,Thompson,tube,,,-0.0134,,1.9,152.0,3.9
163,Beus,,10.57,2767.0,0.0101,5.6,,2134.0,4.5
164,Thompson,tube,6.89,1031.0,,,10.8,432.0,6.6
165,Thompson,tube,12.07,,0.1695,1.9,1.9,152.0,1.9
166,Beus,annulus,11.03,2693.0,-0.027,5.6,,2134.0,0.9
167,Thompson,tube,13.79,2523.0,0.2073,4.6,4.6,,2.9
168,Thompson,,13.79,2672.0,,7.7,7.7,457.0,2.8
169,,tube,,2428.0,-0.0266,1.9,,152.0,4.8
170,Thompson,tube,6.89,3852.0,0.0714,23.6,23.6,610.0,2.5
171,Janssen,,,3052.0,,4.6,11.3,,3.1
172,Weatherhead,,13.79,1326.0,-0.0394,11.1,11.1,457.0,2.1
173,Beus,annulus,13.79,2729.0,0.0886,,15.2,2134.0,1.2
174,Thompson,tube,13.79,,-0.0358,,,,3.9
175,Weatherhead,tube,,1533.0,0.0392,11.1,11.1,457.0,2.6
176,Richenderfer,plate,0.2,2000.0,-0.0373,15.0,120.0,10.0,5.0
177,Thompson,tube,13.79,,,7.7,7.7,457.0,5.0
178,Thompson,tube,7.0,3513.0,0.1888,5.6,,,3.4
179,Thompson,tube,15.51,2197.0,-0.0123,1.9,,152.0,3.2
180,Williams,tube,,,0.1282,9.5,9.5,,1.5
181,Thompson,tube,,6239.0,-0.1806,4.7,4.7,,5.8
182,Thompson,,12.07,3038.0,,1.9,1.9,696.0,3.6
183,Williams,tube,15.17,2685.0,,,9.5,,3.5
184,Thompson,tube,11.07,4069.0,0.0588,11.5,11.5,1524.0,6.0
185,Weatherhead,tube,13.79,2021.0,,,,,3.9
186,Thompson,tube,10.34,3960.0,,10.3,,762.0,5.5
187,Thompson,tube,6.89,,-0.0257,10.3,10.3,762.0,4.6
188,Thompson,tube,13.79,1351.0,,7.7,7.7,457.0,2.2
189,,tube,3.86,,0.0049,10.8,,432.0,4.2
190,,tube,13.79,3974.0,,1.9,1.9,152.0,3.9
191,Thompson,tube,18.96,2048.0,-0.0434,1.9,1.9,152.0,1.6
192,Thompson,tube,,4096.0,,,10.8,432.0,4.4
193,Weatherhead,tube,13.79,1396.0,0.0141,11.1,11.1,457.0,2.5
194,Thompson,tube,,3811.0,-0.0698,37.5,37.5,1953.0,6.0
195,Thompson,tube,18.96,1939.0,-0.0444,1.9,,696.0,2.2
196,Thompson,tube,6.86,4136.0,0.0863,5.6,5.6,432.0,3.8
197,Janssen,annulus,9.65,2319.0,-0.0158,12.7,38.1,914.0,3.1
198,,,17.24,,-0.0156,1.9,1.9,152.0,3.4
199,,tube,12.0,1000.0,0.0428,,10.0,1000.0,3.5
200,Thompson,tube,13.79,3648.0,,1.9,1.9,152.0,3.3
201,Thompson,tube,13.79,639.0,-0.0001,4.7,4.7,318.0,3.7
202,,tube,13.79,793.0,-0.1239,4.7,4.7,318.0,3.1
203,Thompson,tube,13.79,1260.0,,7.8,7.8,591.0,2.0
204,Thompson,tube,,4001.0,,,10.3,794.0,3.2
205,,tube,13.79,3770.0,0.0335,1.9,1.9,696.0,2.3
206,Janssen,annulus,6.89,1519.0,,12.7,42.3,1778.0,3.2
207,Janssen,annulus,6.89,833.0,,12.7,38.1,737.0,4.3
208,Weatherhead,tube,13.79,1344.0,0.1184,11.1,11.1,457.0,2.9
209,Thompson,,6.93,4042.0,,10.8,10.8,3048.0,4.7
210,Thompson,tube,13.79,3933.0,,,1.9,696.0,3.2
211,Beus,annulus,,,,,15.2,2134.0,2.2
212,Weatherhead,tube,13.79,1383.0,-0.1377,7.7,,457.0,4.3
213,Thompson,tube,7.14,,0.1651,10.8,,864.0,3.0
214,Thompson,tube,6.89,5221.0,,10.3,10.3,762.0,5.4
215,,annulus,11.03,2740.0,,5.6,,2134.0,1.6
216,,annulus,,2740.0,,5.6,15.2,2134.0,2.1
217,Peskov,tube,16.0,2875.0,-0.03,10.0,,890.0,5.6
218,,,14.0,2200.0,,10.0,10.0,565.0,1.0
219,Thompson,tube,,,-0.3491,4.7,4.7,318.0,3.8
220,Thompson,tube,13.79,926.0,0.1305,7.7,7.7,,1.6
221,Weatherhead,tube,13.79,2645.0,,7.7,7.7,457.0,1.9
222,Thompson,tube,,,0.0853,4.7,4.7,318.0,4.3
223,Thompson,tube,,4069.0,,11.5,,2007.0,2.4
224,Thompson,tube,10.34,7690.0,-0.0417,,,,3.1
225,Thompson,tube,3.45,3960.0,0.0876,10.3,10.3,762.0,4.3
226,Beus,,11.03,1354.0,0.1219,5.6,15.2,,2.0
227,Thompson,tube,0.1,1967.0,,1.0,1.0,25.0,5.7
228,Thompson,,10.34,4855.0,-0.1339,10.3,10.3,,6.5
229,Thompson,tube,6.89,3933.0,0.0887,5.6,5.6,432.0,1.8
230,Janssen,annulus,6.89,2794.0,-0.0071,6.4,15.9,914.0,3.0
231,Thompson,tube,6.89,4842.0,-0.1961,10.3,10.3,,6.8
232,Thompson,tube,,6144.0,-0.0692,4.7,4.7,318.0,3.8
233,Thompson,tube,13.79,2319.0,,,1.9,152.0,2.1
234,,annulus,5.51,,0.0487,12.7,42.3,1778.0,2.0
235,Kossolapov,plate,0.1,1277.0,-0.0385,15.0,120.0,,6.6
236,Thompson,tube,10.34,,-0.0322,10.3,10.3,762.0,5.4
237,Thompson,,13.79,7391.0,,4.7,4.7,318.0,5.0
238,Beus,,13.79,3665.0,-0.1046,,,2134.0,3.1
239,Thompson,tube,3.45,3933.0,0.0051,10.3,10.3,762.0,3.7
240,Thompson,tube,13.79,2753.0,,4.7,4.7,318.0,5.0
241,Janssen,annulus,6.89,1519.0,,12.7,42.3,1778.0,3.4
242,Thompson,tube,6.89,7880.0,-0.0264,10.3,10.3,,12.9
243,Thompson,tube,15.51,3024.0,-0.0335,,,696.0,2.6
244,Williams,,11.03,4062.0,0.0588,9.5,9.5,1836.0,2.0
245,Thompson,,6.89,3513.0,,10.8,10.8,432.0,3.8
246,Thompson,,13.79,1316.0,-0.0404,5.7,5.7,625.0,3.7
247,,tube,,,0.1959,10.8,10.8,432.0,3.7
248,Weatherhead,,13.79,,-0.0404,11.1,11.1,457.0,3.7
249,Thompson,,13.79,,,,,,3.9
250,Peskov,tube,16.0,833.0,0.0334,10.0,10.0,1300.0,1.7
251,Thompson,tube,6.89,7269.0,-0.0008,12.8,12.8,,7.7
252,Thompson,tube,13.79,2333.0,0.0336,7.8,,591.0,5.3
253,Thompson,,6.89,4069.0,0.0656,11.5,11.5,1524.0,2.5
254,Thompson,tube,6.79,,,10.8,10.8,432.0,7.7
255,Weatherhead,tube,,,-0.0103,7.7,,457.0,5.5
256,Thompson,tube,,6049.0,-0.06,10.3,10.3,762.0,6.5
257,Peskov,tube,18.0,1944.0,-0.0881,10.0,10.0,1650.0,3.2
258,Thompson,,13.79,1926.0,,,4.6,295.0,3.2
259,Janssen,annulus,6.99,,0.1517,8.5,24.6,1778.0,2.2
260,Janssen,,6.89,1519.0,,,42.3,,2.3
261,,tube,18.96,1383.0,,1.9,1.9,152.0,9.4
262,,tube,6.92,7568.0,0.0062,,12.8,1930.0,4.2
263,Weatherhead,tube,13.79,332.0,-0.3183,11.1,,457.0,3.1
264,Janssen,annulus,6.92,762.0,0.1759,22.2,96.3,1778.0,6.0
265,Thompson,tube,12.07,,-0.0296,1.9,1.9,,4.9
266,,tube,13.79,1277.0,0.0849,,7.8,591.0,2.2
267,Janssen,annulus,9.68,,-0.0408,6.4,15.9,914.0,3.1
268,Thompson,tube,13.79,1063.0,,,,318.0,3.9
269,Janssen,annulus,9.68,,0.0087,6.4,15.9,,2.9
270,Thompson,tube,6.89,5778.0,0.0254,10.3,,762.0,2.8
271,Weatherhead,tube,13.79,332.0,,,11.1,457.0,1.2
272,Beus,annulus,13.79,1364.0,0.0126,5.6,15.2,2134.0,1.9
273,Thompson,tube,3.45,3784.0,,10.3,10.3,762.0,2.2
274,Thompson,tube,6.89,7866.0,-0.0417,10.3,10.3,762.0,6.5
275,,,,3960.0,-0.0416,,10.3,,4.2
276,Thompson,tube,6.89,5357.0,0.0156,23.6,,1972.0,3.7
277,Thompson,tube,,1410.0,-0.0416,3.6,3.6,76.0,3.4
278,Thompson,tube,3.45,5737.0,0.0854,10.3,10.3,762.0,4.3
279,Thompson,tube,13.79,7391.0,0.0406,4.7,4.7,318.0,2.3
280,Thompson,tube,13.79,1482.0,,7.8,7.8,591.0,2.0
281,Thompson,,6.89,,0.0387,,10.8,864.0,4.9
282,Janssen,,,1505.0,,12.7,42.3,1778.0,2.0
283,Thompson,tube,12.07,3458.0,-0.0296,1.9,1.9,,3.4
284,Thompson,tube,6.79,3838.0,-0.0975,,,432.0,5.9
285,Thompson,tube,12.0,4028.0,,10.0,,1650.0,3.8
286,,tube,6.72,1858.0,-0.0801,10.8,10.8,432.0,5.8
287,Richenderfer,plate,0.51,2000.0,-0.0415,,120.0,10.0,5.1
288,,annulus,9.69,5615.0,,6.4,15.9,914.0,3.7
289,,tube,6.79,2034.0,-0.08,10.8,,432.0,3.9
290,Thompson,tube,6.89,6117.0,-0.0469,10.3,10.3,794.0,4.4
291,,tube,12.07,2577.0,-0.0158,1.9,1.9,152.0,2.1
292,Thompson,tube,6.89,,,10.3,10.3,762.0,2.4
293,Thompson,tube,10.34,7432.0,,,10.3,762.0,7.3
294,Thompson,tube,18.27,2889.0,,3.0,3.0,150.0,2.8
295,Thompson,tube,13.79,1858.0,0.0808,7.8,,591.0,2.0
296,Janssen,annulus,9.65,1519.0,,12.7,42.3,,3.4
297,Thompson,,,5696.0,0.0254,5.7,5.7,625.0,2.5
298,Thompson,,3.45,4001.0,0.1447,10.3,10.3,,4.4
299,Thompson,tube,,5547.0,-0.0522,10.3,10.3,794.0,6.9
300,Thompson,tube,13.79,3784.0,-0.0595,,4.7,318.0,6.8
301,Weatherhead,tube,13.79,1980.0,0.1503,7.7,7.7,,1.5
302,Thompson,tube,6.86,4096.0,0.0005,10.8,,,3.8
303,Thompson,tube,13.79,2061.0,,7.7,,457.0,1.6
304,Thompson,tube,6.89,3825.0,0.0051,,10.3,,3.2
305,Peskov,tube,20.0,4028.0,,10.0,10.0,,4.1
306,,tube,,4069.0,,10.8,10.8,864.0,3.0
307,Janssen,annulus,6.89,1161.0,0.1671,12.7,42.3,2743.0,1.3
308,Janssen,annulus,9.68,,,12.7,,914.0,2.7
309,Thompson,,10.57,,-0.0417,4.6,4.6,229.0,5.0
310,Thompson,,6.89,4136.0,0.1282,5.6,5.6,,4.2
311,Thompson,,,1356.0,-0.0071,7.7,7.7,457.0,4.9
312,Thompson,tube,13.79,5371.0,0.0287,,,625.0,3.5
313,Thompson,tube,,2184.0,-0.0847,1.9,1.9,152.0,2.0
314,Thompson,tube,13.79,1804.0,0.0897,4.7,4.7,,3.6
315,Beus,,15.51,1356.0,-0.0135,5.6,,2134.0,2.1
316,Janssen,annulus,6.92,762.0,,,24.6,1778.0,5.2
317,Thompson,tube,4.1,4055.0,,10.8,10.8,864.0,3.5
318,Thompson,tube,6.89,6795.0,-0.0434,10.3,,794.0,6.2
319,Janssen,,4.13,1478.0,,12.7,42.3,,2.3
320,Thompson,,13.79,,-0.0309,7.8,7.8,591.0,3.8
321,Thompson,tube,3.45,,,,10.3,762.0,4.5
322,Thompson,tube,13.79,4096.0,,,5.6,864.0,2.6
323,Weatherhead,tube,13.79,1614.0,0.1275,7.7,,457.0,1.5
324,Thompson,,13.79,2116.0,0.0926,,7.8,591.0,2.4
325,Thompson,tube,10.34,4842.0,-0.1688,10.3,10.3,762.0,6.8
326,Thompson,tube,13.79,,,4.6,4.6,295.0,2.9
327,Williams,tube,,4071.0,,9.5,,1836.0,1.7
328,Beus,annulus,15.51,2729.0,0.1219,,15.2,2134.0,1.0
329,,tube,13.79,1872.0,-0.0306,4.7,4.7,318.0,3.7
330,Weatherhead,tube,13.79,1682.0,,7.7,7.7,457.0,10.6
331,Janssen,annulus,9.69,5601.0,0.0625,6.4,15.9,914.0,2.5
332,Thompson,tube,13.79,3838.0,0.0682,7.8,,591.0,1.8
333,,tube,10.34,5588.0,,10.3,10.3,,4.0
334,,tube,6.89,3730.0,-0.0008,12.8,12.8,1930.0,4.9
335,Thompson,tube,12.07,1695.0,-0.0443,,1.9,696.0,3.2
336,Thompson,tube,13.79,1492.0,0.0886,7.8,7.8,591.0,2.5
337,Janssen,annulus,13.79,1519.0,-0.0361,12.7,42.3,1778.0,3.9
338,Beus,,15.51,1500.0,,5.6,15.2,2134.0,1.1
339,Thompson,tube,0.1,6212.0,,1.7,1.7,43.0,7.9
340,Thompson,tube,3.83,4123.0,,10.8,10.8,432.0,3.9
341,,tube,13.79,1356.0,,7.7,7.7,457.0,1.8
342,Janssen,annulus,9.68,2278.0,,12.7,42.3,1778.0,3.0
343,Weatherhead,tube,13.79,1980.0,-0.0276,7.7,7.7,,4.3
344,Thompson,tube,2.63,2848.0,-0.0136,3.0,3.0,150.0,3.0
345,Weatherhead,tube,13.79,1345.0,0.099,11.1,11.1,457.0,2.1
346,Thompson,tube,6.89,,0.0117,10.8,10.8,,4.3
347,,tube,13.79,1383.0,,7.7,7.7,,1.6
348,Janssen,annulus,6.87,2306.0,,4.6,,1778.0,11.0
349,Thompson,tube,6.89,5438.0,0.0214,12.8,12.8,1930.0,2.5
350,Thompson,tube,13.79,7012.0,-0.3338,4.7,4.7,318.0,7.0
351,Thompson,tube,13.79,5208.0,-0.0349,5.7,5.7,625.0,3.5
352,Thompson,tube,6.86,1899.0,,10.8,10.8,,3.3
353,Thompson,tube,6.89,1926.0,0.2073,23.6,23.6,1972.0,2.4
354,Thompson,tube,13.79,963.0,0.0027,7.7,,,3.0
355,Thompson,tube,,4611.0,,10.3,10.3,794.0,5.0
356,,tube,11.03,2679.0,0.1404,9.5,9.5,1836.0,1.9
357,Thompson,tube,3.45,7554.0,0.0143,10.3,10.3,,3.9
358,Thompson,tube,6.89,5900.0,,10.3,10.3,794.0,3.9
359,Thompson,tube,,7500.0,-0.0943,,12.8,610.0,3.2
360,,tube,,7866.0,-0.0427,10.3,10.3,762.0,5.7
361,Weatherhead,tube,13.79,694.0,,7.7,7.7,457.0,2.8
362,,tube,13.79,2645.0,,7.7,7.7,,2.7
363,Janssen,annulus,6.89,2807.0,-0.0975,5.6,5.6,2134.0,8.0
364,Thompson,tube,11.03,,,11.5,,914.0,3.6
365,Williams,tube,13.79,4069.0,-0.0111,9.5,9.5,1836.0,3.6
366,,tube,6.89,734.0,0.1144,12.8,12.8,1930.0,2.5
367,Thompson,,7.0,4042.0,0.0281,10.8,10.8,864.0,3.8
368,Thompson,tube,13.79,1641.0,0.1077,7.8,7.8,591.0,2.8
369,Thompson,,13.79,4136.0,,,4.7,318.0,3.8
370,Peskov,,12.0,4700.0,-0.0297,10.0,10.0,1000.0,5.5
371,Weatherhead,tube,13.79,685.0,,11.1,11.1,457.0,2.2
372,Thompson,tube,3.9,4136.0,-0.0404,5.6,,432.0,5.5
373,Thompson,,6.86,2034.0,0.0029,10.8,10.8,,4.3
374,,tube,6.89,4882.0,-0.0229,10.3,,762.0,3.5
375,Thompson,tube,2.14,1500.0,-0.0466,15.0,120.0,10.0,4.3
376,Janssen,,9.69,5615.0,0.0035,12.7,38.1,914.0,3.2
377,Williams,tube,13.79,1777.0,0.0883,9.5,9.5,1836.0,5.9
378,Thompson,,11.07,3391.0,0.0649,11.5,11.5,914.0,2.0
379,Thompson,tube,,3933.0,-0.0653,10.3,10.3,762.0,4.1
380,,tube,16.0,4028.0,-0.1184,10.0,10.0,660.0,5.2
381,Beus,annulus,15.51,1356.0,,5.6,15.2,2134.0,1.2
382,Thompson,tube,6.89,4787.0,-0.0595,10.3,,762.0,5.3
383,,tube,13.79,4204.0,,4.6,4.6,295.0,3.6
384,Janssen,annulus,6.89,5900.0,-0.0093,12.7,38.1,737.0,3.2
